nama,like_count,text
@kuatbasuki8414,0,Anis gk punta orogram!anya menyindir dan menyalahkan saja  sedang dia sendiri gk kasih jawaban yg jelas
@tonitanamal5540,0,Nangis aja mendingan lu bowo
@nadacute6474,0,kalau dak ada petani orang2 kota pd kelaparan tolong di pikir petani kecil
@nadacute6474,0,nanti ganjar jd petani semakin menangis beli pupuk uang kontan di persulit
@nadacute6474,0,milih anis atau probowo petani kecil bebas beli pupuk2
@triwardhani3631,0,Menurut cerita Negara Palestina Keturunan Nabi Musa yg ingin tetap tinggal dan tdk mau ikut dlm perjalanan ke tanah dataran tinggi Golan..
@fidelaja3856,0,Mantap Pak Anies
@mulkizhafrani4536,0,No.2 selalu di hati
@martabakfavoriteayyu8517,0,Jujur kemarin saya masih ragu milih no 2 dan 3<br>TPI setelah melihat debat.saya mantap pilih no 2
@user-kb3xg4xq4v,0,"Pak Ganjar, apakah bapak Tidak lihat di wilayah bapak dan dekat dengan lokasi bapak tinggal, yaitu di jalan lingkungan Universitas Veteran Semarang, Universitas Tujuh belas Agustus Semarang, dan unika. jalan terjal dan tidak karuh-karuhan seperti itu tidak engkau perbaiki, dimana kepedulian bapak terhadap masyarakat produktif dan fasilitas sarana untuk menjalani studi."
@user-md1mn9jb4g,3,Saya pribadi sangat antosias dng jawaban bpk kita prabowo jujur ap adanya tulus dan iklas  semoga bpk prabowo sehat sllu bersama mas gibran 2 pemimpim yg sangt kmi nantikan dan kami dambakan.
@ferriyadwihikmawan4718,0,Assalamualaikum....Apapun yang Terjadi saya tetap BAPAK PRABOWO.
@user-gc7cz8ux3d,0,"Btul itu pak Prabowo, jgan cuman pandai cakap saja, tdak ad buktinya, anies cuma pandai cakap saja, bukti tdak ad😅"
@sitirokayah4378,0,Yaa Allah ... kami semua gk merasa di bodohi sm gus samsudin.. Malah kami lek ngikuti ajaran kalian gk tambah pinter😂😂😂 malah menambah bodoh😂😂😂
@jhee_official672,1,Berikanlah tujuan yang mudah yaa allah buat bpk.prabowo 😊❤
@user-wm4bm8fm3o,0,Semoga ganjar menang
@Sanssptr,0,Keliatan bet personalnya si asbun itu
@redmi9credmi9c37,0,"hanya pak prabowolah yang matang dari segi apapun masyarakat indonesia harus cerdas memilih siapa yang berpengalaman dalam membawa indonesia untuk terus maju ke depan,"
@user-pd2op5mk4b,0,Tenang pak kami slalu di hati bapak tenang si Ganjar SMA si Anis kita masukan ke rumah sakit Grogol pak atas terganggu nya pakta yg benar2 boong..si Anis ngajelekin bapak and mempitnah...udh orng 2 ith lgi km cari soal nya meresahkan pak...<br><br>Demi jabatan ke bohongan dan kta jdi tau sipat2 yg aslinya Khan orng berdua ith siapah sih nama nya lupa 😂😂😂😂
@EvaAlinda-zj6qp,0,Tetap cinta no 2 bpk Prabowo hebat keren
@JordyNathanael,1,Prabowo terbaikk!!
@lailasholatiya3719,0,Kok kameranya ga terlalu hd yaa??
@ronaldosubakti2389,0,"<a href=""https://www.youtube.com/watch?v=FKImOfLQTbw&amp;t=2h29m00s"">2:29:00</a> Pak prabowo sudah tegas ingin membuktikan data yang sebenar nya dan transparan.. Silahkan pak ganjar dan pak prabowo membuat forum untuk pembuktian data yang sebenar nya di luar debat capres..<br>Dan untuk pak anis juga, apakah ucapan data yang terucap ketika debat capres itu semua nya benar ? Yang membuat pak prabowo membantah kalau data pak anis itu semua nya keliru ?<br>Salam masuk akal ✌️"
@ameilya950,0,Cocot anis Baswedan paling clutakkkk tp faktane 0 😂😂😂 mimpin Jakarta ae koyo Thaikkkk korupsi neh 😛😛😛
@user-vl6zq1hk4s,0,Bener bener Prabowo babak belur....
