text,komen case folding,komen tokenized,komen normalized,komen stemming,komen bersih
Anis gk punta orogram!anya menyindir dan menyalahkan saja  sedang dia sendiri gk kasih jawaban yg jelas,anis gk punta orogram!anya menyindir dan menyalahkan saja  sedang dia sendiri gk kasih jawaban yg jelas,"['anis', 'gk', 'punta', 'orogram', '!', 'anya', 'menyindir', 'dan', 'menyalahkan', 'saja', 'sedang', 'dia', 'sendiri', 'gk', 'kasih', 'jawaban', 'yg', 'jelas']","['anis', 'gk', 'punta', 'orogram', 'anya', 'menyindir', 'menyalahkan', 'gk', 'kasih', 'yg']","['anis', 'gk', 'punta', 'orogram', 'anya', 'sindir', 'salah', 'gk', 'kasih', 'yg']",anis gk punta orogram anya sindir salah gk kasih yg
Nangis aja mendingan lu bowo,nangis aja mendingan lu bowo,"['nangis', 'aja', 'mendingan', 'lu', 'bowo']","['nangis', 'aja', 'mendingan', 'lu', 'bowo']","['nang', 'aja', 'mending', 'lu', 'bowo']",nang aja mending lu bowo
kalau dak ada petani orang2 kota pd kelaparan tolong di pikir petani kecil,kalau dak ada petani orang2 kota pd kelaparan tolong di pikir petani kecil,"['kalau', 'dak', 'ada', 'petani', 'orang2', 'kota', 'pd', 'kelaparan', 'tolong', 'di', 'pikir', 'petani', 'kecil']","['dak', 'petani', 'kota', 'pd', 'kelaparan', 'tolong', 'pikir', 'petani']","['dak', 'tani', 'kota', 'pd', 'lapar', 'tolong', 'pikir', 'tani']",dak tani kota pd lapar tolong pikir tani
nanti ganjar jd petani semakin menangis beli pupuk uang kontan di persulit,nanti ganjar jd petani semakin menangis beli pupuk uang kontan di persulit,"['nanti', 'ganjar', 'jd', 'petani', 'semakin', 'menangis', 'beli', 'pupuk', 'uang', 'kontan', 'di', 'persulit']","['ganjar', 'jd', 'petani', 'menangis', 'beli', 'pupuk', 'uang', 'kontan', 'persulit']","['ganjar', 'jd', 'tani', 'menang', 'beli', 'pupuk', 'uang', 'kontan', 'sulit']",ganjar jd tani menang beli pupuk uang kontan sulit
milih anis atau probowo petani kecil bebas beli pupuk2,milih anis atau probowo petani kecil bebas beli pupuk2,"['milih', 'anis', 'atau', 'probowo', 'petani', 'kecil', 'bebas', 'beli', 'pupuk2']","['milih', 'anis', 'probowo', 'petani', 'bebas', 'beli']","['milih', 'anis', 'probowo', 'tani', 'bebas', 'beli']",milih anis probowo tani bebas beli
Menurut cerita Negara Palestina Keturunan Nabi Musa yg ingin tetap tinggal dan tdk mau ikut dlm perjalanan ke tanah dataran tinggi Golan..,menurut cerita negara palestina keturunan nabi musa yg ingin tetap tinggal dan tdk mau ikut dlm perjalanan ke tanah dataran tinggi golan..,"['menurut', 'cerita', 'negara', 'palestina', 'keturunan', 'nabi', 'musa', 'yg', 'ingin', 'tetap', 'tinggal', 'dan', 'tdk', 'mau', 'ikut', 'dlm', 'perjalanan', 'ke', 'tanah', 'dataran', 'tinggi', 'golan', '..']","['cerita', 'negara', 'palestina', 'keturunan', 'nabi', 'musa', 'yg', 'tinggal', 'tdk', 'dlm', 'perjalanan', 'tanah', 'dataran', 'golan']","['cerita', 'negara', 'palestina', 'turun', 'nabi', 'musa', 'yg', 'tinggal', 'tdk', 'dlm', 'jalan', 'tanah', 'datar', 'gol']",cerita negara palestina turun nabi musa yg tinggal tdk dlm jalan tanah datar gol
Mantap Pak Anies,mantap pak anies,"['mantap', 'pak', 'anies']","['mantap', 'anies']","['mantap', 'anies']",mantap anies
No.2 selalu di hati,no.2 selalu di hati,"['no.2', 'selalu', 'di', 'hati']",['hati'],['hati'],hati
Jujur kemarin saya masih ragu milih no 2 dan 3<br>TPI setelah melihat debat.saya mantap pilih no 2,jujur kemarin saya masih ragu milih no 2 dan 3<br>tpi setelah melihat debat.saya mantap pilih no 2,"['jujur', 'kemarin', 'saya', 'masih', 'ragu', 'milih', 'no', '2', 'dan', '3', '<', 'br', '>', 'tpi', 'setelah', 'melihat', 'debat.saya', 'mantap', 'pilih', 'no', '2']","['jujur', 'kemarin', 'ragu', 'milih', 'no', 'br', 'tpi', 'mantap', 'pilih', 'no']","['jujur', 'kemarin', 'ragu', 'milih', 'no', 'br', 'tpi', 'mantap', 'pilih', 'no']",jujur kemarin ragu milih no br tpi mantap pilih no
"Pak Ganjar, apakah bapak Tidak lihat di wilayah bapak dan dekat dengan lokasi bapak tinggal, yaitu di jalan lingkungan Universitas Veteran Semarang, Universitas Tujuh belas Agustus Semarang, dan unika. jalan terjal dan tidak karuh-karuhan seperti itu tidak engkau perbaiki, dimana kepedulian bapak terhadap masyarakat produktif dan fasilitas sarana untuk menjalani studi.","pak ganjar, apakah bapak tidak lihat di wilayah bapak dan dekat dengan lokasi bapak tinggal, yaitu di jalan lingkungan universitas veteran semarang, universitas tujuh belas agustus semarang, dan unika. jalan terjal dan tidak karuh-karuhan seperti itu tidak engkau perbaiki, dimana kepedulian bapak terhadap masyarakat produktif dan fasilitas sarana untuk menjalani studi.","['pak', 'ganjar', ',', 'apakah', 'bapak', 'tidak', 'lihat', 'di', 'wilayah', 'bapak', 'dan', 'dekat', 'dengan', 'lokasi', 'bapak', 'tinggal', ',', 'yaitu', 'di', 'jalan', 'lingkungan', 'universitas', 'veteran', 'semarang', ',', 'universitas', 'tujuh', 'belas', 'agustus', 'semarang', ',', 'dan', 'unika', '.', 'jalan', 'terjal', 'dan', 'tidak', 'karuh-karuhan', 'seperti', 'itu', 'tidak', 'engkau', 'perbaiki', ',', 'dimana', 'kepedulian', 'bapak', 'terhadap', 'masyarakat', 'produktif', 'dan', 'fasilitas', 'sarana', 'untuk', 'menjalani', 'studi', '.']","['ganjar', 'lihat', 'wilayah', 'lokasi', 'tinggal', 'jalan', 'lingkungan', 'universitas', 'veteran', 'semarang', 'universitas', 'tujuh', 'belas', 'agustus', 'semarang', 'unika', 'jalan', 'terjal', 'engkau', 'perbaiki', 'dimana', 'kepedulian', 'masyarakat', 'produktif', 'fasilitas', 'sarana', 'menjalani', 'studi']","['ganjar', 'lihat', 'wilayah', 'lokasi', 'tinggal', 'jalan', 'lingkung', 'universitas', 'veteran', 'semarang', 'universitas', 'tujuh', 'belas', 'agustus', 'semarang', 'unika', 'jalan', 'terjal', 'engkau', 'baik', 'mana', 'peduli', 'masyarakat', 'produktif', 'fasilitas', 'sarana', 'jalan', 'studi']",ganjar lihat wilayah lokasi tinggal jalan lingkung universitas veteran semarang universitas tujuh belas agustus semarang unika jalan terjal engkau baik mana peduli masyarakat produktif fasilitas sarana jalan studi
